topicid,type,qsid,qcount,qid,options,key,uid,ans,correct,mid,topicname,userid,user,name,group
OOPUY-POST,post,2,20,1,"2,1,4,3",3,447,3,1,17,OOP-Concept Yarsi University,447,1402020069,545a05ad19616,41
OOPUY-POST,post,2,20,2,"5,8,7,6",7,447,7,1,17,OOP-Concept Yarsi University,447,1402020069,545a05ad19616,41
OOPUY-POST,post,2,20,3,"9,12,11,10",11,447,11,1,17,OOP-Concept Yarsi University,447,1402020069,545a05ad19616,41
OOPUY-POST,post,2,20,4,"16,15,14,13",15,447,15,1,17,OOP-Concept Yarsi University,447,1402020069,545a05ad19616,41
OOPUY-POST,post,2,20,5,"19,18,17,20",19,447,19,1,17,OOP-Concept Yarsi University,447,1402020069,545a05ad19616,41
OOPUY-POST,post,2,20,6,"23,22,21,24",21,447,21,1,17,OOP-Concept Yarsi University,447,1402020069,545a05ad19616,41
OOPUY-POST,post,2,20,7,"27,26,25,28",25,447,25,1,17,OOP-Concept Yarsi University,447,1402020069,545a05ad19616,41
OOPUY-POST,post,2,20,8,"30,29,32,31",30,447,30,1,17,OOP-Concept Yarsi University,447,1402020069,545a05ad19616,41
OOPUY-POST,post,2,20,9,"34,33,36,35",35,447,35,1,17,OOP-Concept Yarsi University,447,1402020069,545a05ad19616,41
OOPUY-POST,post,2,20,10,"37,40,39,38",40,447,40,1,17,OOP-Concept Yarsi University,447,1402020069,545a05ad19616,41
OOPUY-POST,post,2,20,11,"41,44,43,42",42,447,42,1,17,OOP-Concept Yarsi University,447,1402020069,545a05ad19616,41
OOPUY-POST,post,2,20,12,"48,47,46,45",46,447,45,0,17,OOP-Concept Yarsi University,447,1402020069,545a05ad19616,41
OOPUY-POST,post,2,20,13,"51,50,49,52",51,447,51,1,17,OOP-Concept Yarsi University,447,1402020069,545a05ad19616,41
OOPUY-POST,post,2,20,14,"55,54,53,56",55,447,55,1,17,OOP-Concept Yarsi University,447,1402020069,545a05ad19616,41
OOPUY-POST,post,2,20,15,"59,58,57,60",57,447,57,1,17,OOP-Concept Yarsi University,447,1402020069,545a05ad19616,41
OOPUY-POST,post,2,20,16,"62,61,64,63",61,447,61,1,17,OOP-Concept Yarsi University,447,1402020069,545a05ad19616,41
OOPUY-POST,post,2,20,17,"66,65,68,67",67,447,67,1,17,OOP-Concept Yarsi University,447,1402020069,545a05ad19616,41
OOPUY-POST,post,2,20,18,"69,72,71,70",70,447,70,1,17,OOP-Concept Yarsi University,447,1402020069,545a05ad19616,41
OOPUY-POST,post,2,20,19,"73,76,75,74",73,447,73,1,17,OOP-Concept Yarsi University,447,1402020069,545a05ad19616,41
OOPUY-POST,post,2,20,20,"80,79,78,77",78,447,78,1,17,OOP-Concept Yarsi University,447,1402020069,545a05ad19616,41
OOPUY-POST,post,2,20,1,"2,1,4,3",3,448,3,1,17,OOP-Concept Yarsi University,448,1402020027,53de05a720481,41
OOPUY-POST,post,2,20,2,"5,8,7,6",7,448,7,1,17,OOP-Concept Yarsi University,448,1402020027,53de05a720481,41
