topicid,type,qsid,qcount,qid,options,key,uid,ans,correct,mid,topicname,userid,user,name,group
OOPUY-PRE,pre,1,20,1,"3,2,1,4",3,447,3,1,17,OOP-Concept Yarsi University,447,1402020069,545a05ad19616,41
OOPUY-PRE,pre,1,20,2,"7,6,5,8",7,447,7,1,17,OOP-Concept Yarsi University,447,1402020069,545a05ad19616,41
OOPUY-PRE,pre,1,20,3,"11,10,9,12",11,447,10,0,17,OOP-Concept Yarsi University,447,1402020069,545a05ad19616,41
OOPUY-PRE,pre,1,20,4,"14,13,16,15",15,447,15,1,17,OOP-Concept Yarsi University,447,1402020069,545a05ad19616,41
OOPUY-PRE,pre,1,20,5,"18,17,20,19",19,447,17,0,17,OOP-Concept Yarsi University,447,1402020069,545a05ad19616,41
OOPUY-PRE,pre,1,20,6,"21,24,23,22",21,447,21,1,17,OOP-Concept Yarsi University,447,1402020069,545a05ad19616,41
OOPUY-PRE,pre,1,20,7,"25,28,27,26",25,447,25,1,17,OOP-Concept Yarsi University,447,1402020069,545a05ad19616,41
OOPUY-PRE,pre,1,20,8,"32,31,30,29",30,447,30,1,17,OOP-Concept Yarsi University,447,1402020069,545a05ad19616,41
OOPUY-PRE,pre,1,20,9,"35,34,33,36",35,447,35,1,17,OOP-Concept Yarsi University,447,1402020069,545a05ad19616,41
OOPUY-PRE,pre,1,20,10,"39,38,37,40",40,447,40,1,17,OOP-Concept Yarsi University,447,1402020069,545a05ad19616,41
OOPUY-PRE,pre,1,20,11,"43,42,41,44",42,447,41,0,17,OOP-Concept Yarsi University,447,1402020069,545a05ad19616,41
OOPUY-PRE,pre,1,20,12,"46,45,48,47",46,447,48,0,17,OOP-Concept Yarsi University,447,1402020069,545a05ad19616,41
OOPUY-PRE,pre,1,20,13,"50,49,52,51",51,447,51,1,17,OOP-Concept Yarsi University,447,1402020069,545a05ad19616,41
OOPUY-PRE,pre,1,20,14,"53,56,55,54",55,447,55,1,17,OOP-Concept Yarsi University,447,1402020069,545a05ad19616,41
OOPUY-PRE,pre,1,20,15,"57,60,59,58",57,447,57,1,17,OOP-Concept Yarsi University,447,1402020069,545a05ad19616,41
OOPUY-PRE,pre,1,20,16,"64,63,62,61",61,447,61,1,17,OOP-Concept Yarsi University,447,1402020069,545a05ad19616,41
OOPUY-PRE,pre,1,20,17,"67,66,65,68",67,447,67,1,17,OOP-Concept Yarsi University,447,1402020069,545a05ad19616,41
OOPUY-PRE,pre,1,20,18,"71,70,69,72",70,447,70,1,17,OOP-Concept Yarsi University,447,1402020069,545a05ad19616,41
OOPUY-PRE,pre,1,20,19,"75,74,73,76",73,447,73,1,17,OOP-Concept Yarsi University,447,1402020069,545a05ad19616,41
OOPUY-PRE,pre,1,20,20,"78,77,80,79",78,447,79,0,17,OOP-Concept Yarsi University,447,1402020069,545a05ad19616,41
OOPUY-PRE,pre,1,20,1,"3,2,1,4",3,448,3,1,17,OOP-Concept Yarsi University,448,1402020027,53de05a720481,41
OOPUY-PRE,pre,1,20,2,"7,6,5,8",7,448,7,1,17,OOP-Concept Yarsi University,448,1402020027,53de05a720481,41
OOPUY-PRE,pre,1,20,3,"11,10,9,12",11,448,11,1,17,OOP-Concept Yarsi University,448,1402020027,53de05a720481,41
OOPUY-PRE,pre,1,20,4,"14,13,16,15",15,448,15,1,17,OOP-Concept Yarsi University,448,1402020027,53de05a720481,41
OOPUY-PRE,pre,1,20,5,"18,17,20,19",19,448,19,1,17,OOP-Concept Yarsi University,448,1402020027,53de05a720481,41
OOPUY-PRE,pre,1,20,6,"21,24,23,22",21,448,21,1,17,OOP-Concept Yarsi University,448,1402020027,53de05a720481,41
OOPUY-PRE,pre,1,20,7,"25,28,27,26",25,448,25,1,17,OOP-Concept Yarsi University,448,1402020027,53de05a720481,41
OOPUY-PRE,pre,1,20,8,"32,31,30,29",30,448,30,1,17,OOP-Concept Yarsi University,448,1402020027,53de05a720481,41
OOPUY-PRE,pre,1,20,9,"35,34,33,36",35,448,35,1,17,OOP-Concept Yarsi University,448,1402020027,53de05a720481,41
OOPUY-PRE,pre,1,20,10,"39,38,37,40",40,448,39,0,17,OOP-Concept Yarsi University,448,1402020027,53de05a720481,41
OOPUY-PRE,pre,1,20,11,"43,42,41,44",42,448,42,1,17,OOP-Concept Yarsi University,448,1402020027,53de05a720481,41
OOPUY-PRE,pre,1,20,12,"46,45,48,47",46,448,46,1,17,OOP-Concept Yarsi University,448,1402020027,53de05a720481,41
OOPUY-PRE,pre,1,20,13,"50,49,52,51",51,448,51,1,17,OOP-Concept Yarsi University,448,1402020027,53de05a720481,41
OOPUY-PRE,pre,1,20,14,"53,56,55,54",55,448,53,0,17,OOP-Concept Yarsi University,448,1402020027,53de05a720481,41
OOPUY-PRE,pre,1,20,15,"57,60,59,58",57,448,57,1,17,OOP-Concept Yarsi University,448,1402020027,53de05a720481,41
OOPUY-PRE,pre,1,20,16,"64,63,62,61",61,448,64,0,17,OOP-Concept Yarsi University,448,1402020027,53de05a720481,41
OOPUY-PRE,pre,1,20,17,"67,66,65,68",67,448,67,1,17,OOP-Concept Yarsi University,448,1402020027,53de05a720481,41
OOPUY-PRE,pre,1,20,18,"71,70,69,72",70,448,70,1,17,OOP-Concept Yarsi University,448,1402020027,53de05a720481,41
OOPUY-PRE,pre,1,20,19,"75,74,73,76",73,448,73,1,17,OOP-Concept Yarsi University,448,1402020027,53de05a720481,41
OOPUY-PRE,pre,1,20,20,"78,77,80,79",78,448,78,1,17,OOP-Concept Yarsi University,448,1402020027,53de05a720481,41
OOPUY-PRE,pre,1,20,1,"3,2,1,4",3,449,3,1,17,OOP-Concept Yarsi University,449,1402020097,547105ae20206,41
OOPUY-PRE,pre,1,20,2,"7,6,5,8",7,449,7,1,17,OOP-Concept Yarsi University,449,1402020097,547105ae20206,41
OOPUY-PRE,pre,1,20,3,"11,10,9,12",11,449,11,1,17,OOP-Concept Yarsi University,449,1402020097,547105ae20206,41
OOPUY-PRE,pre,1,20,4,"14,13,16,15",15,449,15,1,17,OOP-Concept Yarsi University,449,1402020097,547105ae20206,41
OOPUY-PRE,pre,1,20,5,"18,17,20,19",19,449,19,1,17,OOP-Concept Yarsi University,449,1402020097,547105ae20206,41
OOPUY-PRE,pre,1,20,6,"21,24,23,22",21,449,21,1,17,OOP-Concept Yarsi University,449,1402020097,547105ae20206,41
