"group","userid","user","pre_score","post_score","delay_score","map_score","feedbacks","stid","post_nc","post_ng","delay_nc","delay_ng","sm_score","activity_score","assignment","attitude","midterm_quiz","final_quiz","final_project","total_score","grade"
"cont","562","stu58",19,18,17,NA,NA,"1402020057",-0.0526315789473684,-1,-0.105263157894737,-2,90,90,100,100,92.1,98.775,97.5,97.68,"A"
"cont","564","stu60",16,18,16,NA,NA,"1402020032",0.5,0.5,0,0,93.33333333,93.33333333,100,100,82.08,75.8375,96,90.78,"A"
"cont","565","stu61",8,11,13,NA,NA,"1402020092",0.25,0.25,0.416666666666667,0.416666666666667,68.33333333,68.33333333,96.5714,100,76.8,76.68,73,84.61,"A"
"cont","566","stu62",12,12,17,NA,NA,"1402020116",0,0,0.625,0.625,46.42857143,46.42857143,76,100,80.2,63.3375,82.5,80.41,"A"
"cont","567","stu63",20,19,18,NA,NA,"1402020062",-0.05,NA,-0.1,NA,48.92857143,48.92857143,90.7143,100,95.8,83.62,98.5,93.73,"A"
"cont","568","stu64",11,14,17,NA,NA,"1402020083",0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667,42.14285714,42.14285714,76.5714,100,84.3,78.495,73,82.47,"A"
"cont","569","stu65",12,12,18,NA,NA,"1402020008",0,0,0.75,0.75,87.61904762,87.61904762,89.2143,100,83.5,88.59,88.5,89.96,"A"
"cont","571","stu67",16,15,16,NA,NA,"1402017084",-0.0625,-0.25,0,0,0,0,99.76,73.36,71.1581,49.3472,48.16,68.36,"B"
"cont","572","stu68",11,14,12,NA,NA,"1402020133",0.333333333333333,0.333333333333333,0.111111111111111,0.111111111111111,69.4047619,69.4047619,69.4286,93,77.8,66.075,76.5,76.56,"A-"
"cont","574","stu70",11,16,17,NA,NA,"1402020112",0.555555555555556,0.555555555555556,0.666666666666667,0.666666666666667,72.14285714,72.14285714,96.0714,100,82.6,76.2475,95,89.98,"A"
"cont","576","stu72",13,11,17,NA,NA,"1402020103",-0.153846153846154,-0.285714285714286,0.571428571428571,0.571428571428571,67.97619048,67.97619048,93.5714,100,76,61.895,85,83.29,"A"
"cont","577","stu73",11,12,16,NA,NA,"1402019069",0.111111111111111,0.111111111111111,0.555555555555556,0.555555555555556,73.21428571,73.21428571,91.5,100,75.766,81.7575,51.5,80.1,"A"
"cont","578","stu74",15,11,15,NA,NA,"1402020043",-0.266666666666667,-0.8,0,0,86.42857143,86.42857143,83.8571,100,75.6,62.0225,59,76.1,"AB"
"cont","579","stu75",13,14,14,NA,NA,"1402019086",0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,47.55952381,47.55952381,90.7143,100,63.6,83.4425,50,77.55,"A-"
"cont","580","stu76",12,12,9,NA,NA,"1402020102",0,0,-0.25,-0.375,66.54761905,66.54761905,88.5714,97,67.6,70.0875,73.5,79.35,"A-"
"cont","581","stu77",10,12,11,NA,NA,"1402020073",0.2,0.2,0.1,0.1,68.1547619,68.1547619,80,100,70.2,47.4025,45.5,68.62,"B"
"cont","583","stu79",5,7,7,NA,NA,"1402020023",0.133333333333333,0.133333333333333,0.133333333333333,0.133333333333333,54.28571429,54.28571429,40,85,52.634,31.0675,68,55.34,"C+"
"cont","584","stu80",14,11,15,NA,NA,"1402020005",-0.214285714285714,-0.5,0.166666666666667,0.166666666666667,62.73809524,62.73809524,84.2143,100,80.4,66.4325,96.5,85.51,"A"
"cont","585","stu81",11,12,10,NA,NA,"1402019040",0.111111111111111,0.111111111111111,-0.0909090909090909,-0.111111111111111,NA,0,25,100,55,37.995,60,55.6,"C+"
"cont","587","stu83",12,14,14,NA,NA,"1402019036",0.25,0.25,0.25,0.25,68.86904762,68.86904762,32.8571,100,59.3,65.8975,0,51.61,"C"
"cont","588","stu84",8,11,17,NA,NA,"1402019071",0.25,0.25,0.75,0.75,45.71428571,45.71428571,73.5714,100,73.566,79.155,52.5,75.76,"AB"
"cont","592","stu88",12,11,17,NA,NA,"1402019009",-0.0833333333333333,-0.125,0.625,0.625,45,45,84.2857,100,77.766,93.3325,52.5,81.58,"A"
"cont","593","stu89",9,11,10,NA,NA,"1402020035",0.181818181818182,0.181818181818182,0.0909090909090909,0.0909090909090909,42.26190476,42.26190476,25.7143,65,51.134,20.685,0,32.51,"E"
