"group","userid","user","pre_score","post_score","delay_score","map_score","feedbacks","stid","post_nc","post_ng","delay_nc","delay_ng","sm_score","activity_score"
"cont","562","stu58",19,18,17,NA,NA,"1402020057",-0.0526315789473684,-1,-0.105263157894737,-2,90,90
"cont","564","stu60",16,18,16,NA,NA,"1402020032",0.5,0.5,0,0,93.33333333,93.33333333
"cont","565","stu61",8,11,13,NA,NA,"1402020092",0.25,0.25,0.416666666666667,0.416666666666667,68.33333333,68.33333333
"cont","566","stu62",12,12,17,NA,NA,"1402020116",0,0,0.625,0.625,46.42857143,46.42857143
"cont","567","stu63",20,19,18,NA,NA,"1402020062",-0.05,NA,-0.1,NA,48.92857143,48.92857143
"cont","568","stu64",11,14,17,NA,NA,"1402020083",0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667,42.14285714,42.14285714
"cont","569","stu65",12,12,18,NA,NA,"1402020008",0,0,0.75,0.75,87.61904762,87.61904762
"cont","571","stu67",16,15,16,NA,NA,"1402017084",-0.0625,-0.25,0,0,0,0
"cont","572","stu68",11,14,12,NA,NA,"1402020133",0.333333333333333,0.333333333333333,0.111111111111111,0.111111111111111,69.4047619,69.4047619
"cont","574","stu70",11,16,17,NA,NA,"1402020112",0.555555555555556,0.555555555555556,0.666666666666667,0.666666666666667,72.14285714,72.14285714
"cont","576","stu72",13,11,17,NA,NA,"1402020103",-0.153846153846154,-0.285714285714286,0.571428571428571,0.571428571428571,67.97619048,67.97619048
"cont","577","stu73",11,12,16,NA,NA,"1402019069",0.111111111111111,0.111111111111111,0.555555555555556,0.555555555555556,73.21428571,73.21428571
"cont","578","stu74",15,11,15,NA,NA,"1402020043",-0.266666666666667,-0.8,0,0,86.42857143,86.42857143
"cont","579","stu75",13,14,14,NA,NA,"1402019086",0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,47.55952381,47.55952381
"cont","580","stu76",12,12,9,NA,NA,"1402020102",0,0,-0.25,-0.375,66.54761905,66.54761905
"cont","581","stu77",10,12,11,NA,NA,"1402020073",0.2,0.2,0.1,0.1,68.1547619,68.1547619
"cont","583","stu79",5,7,7,NA,NA,"1402020023",0.133333333333333,0.133333333333333,0.133333333333333,0.133333333333333,54.28571429,54.28571429
